,TARGET,RA,DEC,RISE TIME,SET TIME,TRANSIT (Hours),OBSERVABLE DURING TRANSIT?,OBSERVATION WINDOW
0,vega,279.234734787,38.783688956,2022-04-12 17:16:23.331,2022-04-13 07:19:03.428,14.04,True,2022-04-12 19:05:16.289 to 2022-04-12 23:30:16.289
1,m31,10.6847083,41.26875,2022-04-12 23:15:27.558,2022-04-13 13:30:28.167,14.25,False,Not Observable
2,jupiter,354.5918917786862,-3.459354091445565,2022-04-12 23:24:21.695,2022-04-13 11:13:50.006,11.82,False,Not Observable
3,m1,83.63311445609,22.01448713834,2022-04-12 04:47:55.817,2022-04-12 17:48:06.780,13.0,True,2022-04-12 14:35:16.289 to 2022-04-12 16:20:16.289
4,m42,83.82208,-5.39111,2022-04-12 05:26:43.826,2022-04-12 17:10:20.590,11.73,True,2022-04-12 14:35:16.289 to 2022-04-12 15:45:16.289
5,m55,294.998792,-30.96475,2022-04-12 20:08:24.269,2022-04-13 06:34:06.847,10.43,True,2022-04-12 21:55:16.289 to 2022-04-12 23:30:16.289
6,saturn,325.39192947264416,-14.86094205945055,2022-04-12 21:43:33.120,2022-04-13 09:01:17.817,11.3,True,2022-04-12 23:15:16.289 to 2022-04-12 23:30:16.289
7,sun,20.639470973846535,8.687625972162454,2022-04-13 00:53:16.929,2022-04-13 13:17:38.877,12.41,False,Not Observable
8,neptune,354.63678387270824,-3.5487772335831753,2022-04-12 23:24:30.116,2022-04-13 11:13:26.133,11.82,False,Not Observable
9,moon,153.9547353860366,16.438355440231245,2022-04-12 11:42:48.869,2022-04-12 20:37:59.778,8.92,True,2022-04-12 14:50:16.289 to 2022-04-12 19:15:16.289
10,venus,338.95309377286173,-8.992225039416091,2022-04-12 22:30:19.002,2022-04-13 10:06:24.441,11.6,True,Not Observable
11,mars,330.41360713045674,-13.512936645170226,2022-04-12 22:01:59.567,2022-04-13 09:24:16.245,11.37,True,2022-04-12 23:30:16.289 to 2022-04-12 23:30:16.289
12,orion,83.82208,-5.39111,2022-04-12 05:26:43.826,2022-04-12 17:10:20.590,11.73,True,2022-04-12 14:35:16.289 to 2022-04-12 15:45:16.289
13,betelgeuse,88.792938991,7.407063995,2022-04-12 05:29:29.939,2022-04-12 17:47:27.124,12.3,True,2022-04-12 14:35:16.289 to 2022-04-12 16:20:16.289
14,rigel,78.634467067,-8.201638365,2022-04-12 05:09:48.606,2022-04-12 16:45:49.551,11.6,True,2022-04-12 14:35:16.289 to 2022-04-12 15:20:16.289
15,m81,148.88821939854,69.06529514038,2022-04-12 05:38:08.527,2022-04-13 01:39:30.553,20.02,True,2022-04-12 14:35:16.289 to 2022-04-12 21:10:16.289
